,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
#,Target,Mode,IP,URL Rating,Domain Rating,Ahrefs Rank,Ref Domains,Ref domains Dofollow,Ref domains Governmental,Ref domains Educational,Ref IPs,Ref SubNets,Linked Domains,Total Backlinks,Backlinks Text,Backlinks NoFollow,Backlinks Redirect,Backlinks Image,Backlinks Frame,Backlinks Form,Backlinks Governmental,Backlinks Educational,Total Keywords,Total Traffic
1,myshopify.com,subdomains,23.227.38.32,,93,126,347344,292974,143,926,118922,52066,7128,176345082,167827342,1371203,1104560,12828685,107557,982888,3930,1125211,3397218,1719963
2,colourpop.com,subdomains,23.227.38.32,,75,32562,8432,7283,0,11,4967,3207,42,154260,152596,37244,1592,13501,4,36,0,660,227708,1411194
3,cupshe.com,subdomains,23.227.38.32,,58,284204,1315,770,0,0,1089,851,170,29288,28242,13053,1043,6394,0,0,0,0,26430,85655
4,allbirds.com,subdomains,23.227.38.32,,72,59089,3880,3233,0,7,3232,2365,63,73413,72895,12890,514,8500,0,1,0,18,61847,195091
5,jbhifi.com.au,subdomains,23.227.38.32,,77,21779,9075,7061,7,36,7659,4809,272,869660,856871,85485,12647,182427,30,53,39,308,1349068,4539336
6,fashionnova.com,subdomains,23.227.38.32,,74,38975,7190,5767,0,34,5157,3313,28,1462422,1459959,108799,2296,97448,7,155,0,42534,913043,2857614
7,cettire.com,subdomains,23.227.38.32,,21,7445774,164,97,0,0,187,171,9,10898,8631,3180,2267,1720,0,0,0,0,33793,884
8,mnml.la,subdomains,23.227.38.64,,43,1110728,542,367,0,3,566,484,20,39644,39589,904,54,521,0,1,0,2044,23733,111485
9,stevemadden.com,subdomains,23.227.38.32,,74,35216,15757,14463,1,8,6647,4460,38,546080,533481,80843,12402,99267,5,181,1,841,278521,610700
10,ripndipclothing.com,subdomains,23.227.38.32,,45,938625,792,559,0,1,763,658,26,309907,309817,2085,88,514,0,2,0,2,49209,172968
11,childofwild.com,subdomains,23.227.38.32,,41,1254828,612,466,0,1,456,388,16,17086,17064,3443,10,4894,0,2,0,4,7711,5354
12,jeffreestarcosmetics.com,subdomains,23.227.38.32,,66,139053,2820,2110,0,3,2118,1531,62,37609,37416,16768,180,677,2,11,0,6,89115,562661
13,giuliofashion.com,subdomains,23.227.38.32,,22,7044341,147,90,0,0,139,131,16,2603,2581,657,20,82,2,0,0,0,3979,1039
14,gymshark.com,subdomains,23.227.38.65,,71,73429,2562,1795,0,3,2247,1636,224,27232,26377,11490,814,2933,0,4,0,12,153290,1157561
15,reddressboutique.com,subdomains,23.227.38.32,,57,297657,1786,1359,0,2,1168,837,114,90016,84007,20861,6008,47836,0,1,0,5,75984,77509
16,lakenzie.com,subdomains,23.227.38.32,,2,41030436,47,17,0,0,41,41,8,234,226,140,8,0,0,0,0,0,2631,4505
17,swaggsauce.com,subdomains,23.227.38.32,,27,4849916,693,490,1,10,589,499,31,68830,68622,1986,206,366,0,0,1,8157,9533,5227
18,fab.com,subdomains,23.227.38.32,,74,35399,10445,9073,0,23,6277,4627,15,471423,470726,32965,594,136528,8,1,0,141,2792,16814
19,balr.jp,subdomains,23.227.38.32,,1,48563926,42,14,0,0,37,36,8,235,235,160,0,1,0,0,0,0,123,355
20,inspireuplift.com,subdomains,23.227.38.32,,48,745546,743,352,0,12,729,621,27,107932,107615,7170,313,71984,0,4,0,103,34108,31351
21,thirdlove.com,subdomains,23.227.38.32,,69,100426,3534,2818,0,3,2948,2108,180,177651,177186,106722,457,77491,4,0,0,6,75922,310949
22,beeinspiredclothing.com,subdomains,23.227.38.32,,21,7443597,153,46,0,0,155,143,40,3574,3486,2092,88,2652,0,0,0,0,5946,25960
23,sisterjane.com,subdomains,23.227.38.65,,37,1870889,548,448,0,0,393,325,8,4864,4757,1473,107,293,0,0,0,0,3878,6479
24,kingice.com,subdomains,23.227.38.32,,54,424391,1064,704,0,2,904,754,128,65225,59370,5854,122,6105,0,5705,0,49,54838,90681
25,aloyoga.com,subdomains,23.227.38.32,,66,133690,2036,1620,0,0,1618,1237,121,90385,74152,10990,823,22094,0,1,0,0,26536,119015
26,usatuan.com,subdomains,23.227.38.32,,3,33428853,39,8,0,0,32,30,5,274,268,245,6,0,0,0,0,0,1,0
27,kith.com,subdomains,23.227.38.32,,70,99610,3426,2843,1,7,2877,2267,67,100651,94200,10666,6443,4935,3,1,31,101,213158,241283
28,lackofcolor.com.au,subdomains,23.227.38.32,,60,232365,1460,1299,0,0,916,724,69,17586,17552,1065,34,1038,0,0,0,0,5293,5875
29,brooklinen.com,subdomains,23.227.38.32,,66,139640,2023,1574,0,4,1889,1446,220,35832,35589,12043,237,1837,0,5,0,10,34702,75445
30,gfuel.com,subdomains,23.227.38.32,,64,168700,1972,1190,0,3,1952,1355,222,161661,160526,50578,1129,52008,0,0,0,36,69034,446930
31,dailysteals.com,subdomains,23.227.38.32,,53,464097,2485,1824,0,3,1694,1324,68,47118,46647,13453,439,7823,2,11,0,11,95339,40148
32,ghospell.com,subdomains,23.227.38.65,,30,3590266,56,35,0,0,68,64,9,957,956,92,1,20,0,0,0,0,726,149
33,creativebooster.net,subdomains,23.227.38.32,,61,223243,996,689,0,4,931,779,110,61513,61502,7336,7,500,2,1,0,8,54144,153033
34,thecriticalslidesociety.com,subdomains,23.227.38.32,,38,1585826,371,297,0,4,298,262,36,17971,17964,402,7,898,0,0,0,38,2451,5512
35,whitefoxboutique.com,subdomains,23.227.38.65,,41,1278105,757,540,0,0,628,512,17,112670,112503,1900,163,106631,1,0,0,0,35898,208296
36,cymatics.fm,subdomains,23.227.38.32,,48,756780,1009,628,1,1,965,793,661,11372,11265,3677,101,3313,5,0,1,3,82841,211180
37,zgla.com,subdomains,23.227.38.32,,40,1345328,418,281,0,0,338,295,218,3032,2527,1179,503,150,0,2,0,0,2484,3550
38,mclabels.com,subdomains,23.227.38.32,,15,11639141,132,80,0,0,133,128,18,2402,2394,1324,8,129,0,0,0,0,839,99
39,huel.com,subdomains,23.227.38.32,,58,277196,1775,1356,0,6,1652,1313,342,51557,51498,2726,54,412,3,1,0,6590,32980,103552
40,andi-bagus.com,subdomains,23.227.38.65,,14,12064404,296,236,0,2,300,265,18,49508,49507,273,0,1962,0,1,0,188,4059,4763
41,cartots.com,subdomains,23.227.38.32,,27,4979357,605,372,1,5,476,384,10,47448,47442,997,3,49,0,0,2,56,6297,4304
42,themusiczoo.com,subdomains,23.227.38.32,,54,427514,1684,1128,0,2,1564,1118,275,134996,134911,7117,35,20878,4,22,0,45,97233,47074
43,riccardiboston.com,subdomains,23.227.38.32,,23,6752656,161,123,0,0,154,144,8,1447,1444,172,2,45,1,0,0,0,1143,792
44,rmattress.com,subdomains,23.227.38.32,,2,45462250,95,40,0,0,86,81,9,974,971,573,3,28,0,0,0,0,760,145
45,zinus.com,subdomains,23.227.38.32,,41,1256616,668,396,1,2,624,506,24,6611,6019,3226,590,1052,0,0,21,4,30033,92608
46,outdoorvoices.com,subdomains,23.227.38.32,,72,52481,3486,3054,0,12,2670,2060,21,247736,247557,8850,175,7537,0,0,0,1067,15337,113020
47,zpacks.com,subdomains,23.227.38.32,,52,490436,1418,1096,0,1,1146,961,72,165512,165435,21009,18,5995,5,0,0,14,21535,46736
48,proozy.com,subdomains,23.227.38.32,,32,2892891,622,393,0,4,660,569,208,73274,72485,8460,788,3420,0,0,0,36,21187,31873
49,vitalproteins.com,subdomains,23.227.38.32,,73,44502,3940,3441,0,4,2586,1794,465,175861,175558,6377,290,61706,2,9,0,6,12901,35260
50,vitalydesign.com,subdomains,23.227.38.32,,58,285313,343,213,0,0,309,276,38,2989,2917,1202,66,600,0,6,0,0,5264,26523
51,axparis.com,subdomains,23.227.38.32,,70,95372,3059,2741,0,0,1660,1269,17,65493,63191,20783,2297,14361,0,5,0,0,54928,109519
52,isawitfirst.com,subdomains,23.227.38.32,,57,315872,1131,791,0,1,957,727,91,29091,17419,9162,11671,4325,1,0,0,1,51366,144906
53,amrstore.com,subdomains,23.227.38.64,,6,23562533,53,19,0,0,40,39,8,128,127,101,1,1,0,0,0,0,1071,121
