,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
source,status,company_name,company_legal_name,company_domain,company_domain_aliases,company_url,company_site_phone_numbers,company_site_email_addresses,company_category_sector,company_category_industry_group,company_category_industry,company_category_sub_industry,company_category_sic_code,company_category_naics_code,company_tags,company_description,company_founded_year,company_location,company_time_zone,company_utc_offset,company_geo_street_number,company_geo_street_name,company_geo_sub_premise,company_geo_city,company_geo_postal_code,company_geo_state,company_geo_state_code,company_geo_country,company_geo_country_code,company_geo_lat,company_geo_lng,company_logo,company_facebook_handle,company_linkedin_handle,company_twitter_handle,company_twitter_id,company_twitter_bio,company_twitter_followers,company_twitter_following,company_twitter_location,company_twitter_site,company_twitter_avatar,company_crunchbase_handle,company_email_provider,company_type,company_ticker,company_identifiers_us_ein,company_phone,company_metrics_alexa_us_rank,company_metrics_alexa_global_rank,company_metrics_employees,company_metrics_employees_range,company_metrics_market_cap,company_metrics_raised,company_metrics_annual_revenue,company_metrics_estimated_annual_revenue,company_metrics_fiscal_year_end,company_tech,company_parent_domain
myshopify.com,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colourpop.com,found,ColourPop Cosmetics,ColourPop Cosmetics LLC,colourpop.com,,,,"privacy@colourpop.com,colourpop@colourpop.com",Consumer Staples,Household & Personal Products,Personal Products,Cosmetics,56,42,"E-commerce,Cosmetics,Consumer Discretionary,Apparel & Footwear,B2C","ColourPop Cosmetics, also known as ColourPop, is a cosmetics brand based in Los Angeles, California.",2014,"1400 Stellar Dr, Oxnard, CA 93033-2413, US",America/Los_Angeles,-8,1400,Stellar Dr,,Oxnard,93033,California,CA,United States,US,34.18663,-119.16318,https://logo.clearbit.com/colourpop.com,colourpopcosmetics,company/colourpop-cosmetics,ColourPopCo,2436210614,Beauty for cool kids. Made in LA âš¡ï¸,1104845,167,"California, USA",https://t.co/b4JMXWJeRZ,https://pbs.twimg.com/profile_images/978310703789436928/fFM1iOAm_normal.jpg,,FALSE,private,,,,666,2461,180,51-250,,,,,,"google_apps,cloudinary,aws_route_53,cloud_flare,dynamic_yield,klaviyo,zendesk,double_click,youtube,google_remarketing,yotpo,alexa,google_adwords,facebook_connect,talkable,google_tag_manager,shopify,typekit_by_adobe,bing_advertiser,trustpilot,facebook_advertiser,google_analytics,conversio",
cupshe.com,found,Cupshe,,cupshe.com,,,,"service@cupshe.com,legal@cupshe.com",Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,56,42,"E-commerce,Consumer Staples,International Trade,B2C",To inspire confidence and beauty through redefined and affordable fashion.,,"Manchester One, 53 Portland St, Manchester M1 3LD, UK",Europe/London,0,53,Portland Street,,Manchester,M1 3LD,Greater Manchester,,United Kingdom,GB,53.4781733,-2.2381423,https://logo.clearbit.com/cupshe.com,cupshecom-829544503780885,company/cupshe,cupsheofficial,3244029402,â˜€ï¸Live Life on the Beach ðŸŒŠTo inspire confidence and beauty through refined and affordable fashion. ðŸ‘™Shop Now https://t.co/oJ5QEMW4JN,2321,7,United States,https://t.co/oJ5QEMW4JN,https://pbs.twimg.com/profile_images/1159006382500139008/yrl5DZrz_normal.jpg,organization/product/cupshe-coupon-codes,FALSE,private,,,,,11777,30,11-50,,,,$1M-$10M,,"bing_advertiser,cloud_flare,live_chat,godaddy_nameserver,microsoft_exchange_online,taboola_ads,facebook_advertiser,outlook,microsoft_office_365,yotpo,steel_house,ios,facebook_connect,shopify,klaviyo,go_squared,google_analytics,criteo,google_tag_manager",
allbirds.com,found,Allbirds,"Allbirds, Inc.",allbirds.com,"allbirdssucks.com,allbirdsfootwear.com,allbirdsshoes.com,getallbirds.com,goallbirds.com",,+1 888-963-8944,"help@allbirds.com,privacy@allbirds.com",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",7,11,"E-commerce,Apparel & Footwear,Consumer Staples,B2C",Allbirds is an American company which uses a direct-to-consumer approach and is aimed at designing environmentally friendly footwear.,2014,"San Francisco, CA, USA",America/Los_Angeles,-8,,,,San Francisco,,California,CA,United States,US,37.7749295,-122.4194155,https://logo.clearbit.com/allbirds.com,weareallbirds,company/allbirds,Allbirds,4634443760,"At Allbirds, we make better things in a better way using premium natural materials. Right now, thatâ€™s socks and shoes.  #weareallbirds",18993,314,,https://t.co/CcGRGyS1Np,https://pbs.twimg.com/profile_images/697176316597014529/Y1pGIwKT_normal.jpg,organization/allbirds,FALSE,private,,,+1 415-359-4887,2465,13992,260,251-1K,,77500000,,$10M-$50M,,"google_apps,iterable,cloud_flare,track_js,contentful,zendesk,mailchimp,amazon_payments,mandrill,google_tag_manager,mailgun,shopify,bing_advertiser,cloudinary,facebook_advertiser,google_analytics,conversio",
jbhifi.com.au,found,JB Hi-Fi,JB Hi-Fi Ltd,jbhifi.com.au,jbhifi.com,,,"marketing@jbhifi.com.au,privacy@jbhifi.com.au,solutions@jbhifi.com.au",Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics,59,45,"E-commerce,Consumer Electronics,Retail,B2C",JB Hi-Fi is a publicly listed Australian retailer that sells and specialises in consumer goods.,1974,"Chadstone VIC 3148, Australia",Australia/Melbourne,11,,,,Chadstone,3148,Victoria,VIC,Australia,AU,-37.8819831,145.0989646,https://logo.clearbit.com/jbhifi.com.au,jbhifi,company/jb-hifi,JBHiFi,341142617,Welcome to the Official Twitter account for JB Hi-Fi Australia!  Twitter response can be expected between 9-5 weekdays.,37482,155,Australia,http://t.co/PY0g9Lrwdv,https://pbs.twimg.com/profile_images/885274083868286976/9Cl-dJyP_normal.jpg,organization/jb-hi-fi,FALSE,public,,,,,5952,12200,10K-50K,,,2911360000,$1B-$10B,,"aws_route_53,cloud_flare,contentful,klaviyo,microsoft_exchange_online,postmark,outlook,microsoft_office_365,google_analytics,amazon_ses,google_tag_manager,salesforce,shopify,google_maps,bing_advertiser,inspectlet,crazy_egg,facebook_advertiser",
fashionnova.com,found,Fashion Nova,Fashion Nova Inc.,fashionnova.com,"nova.com,fashionova.com",,,,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",23,32,"Apparel & Footwear,E-commerce,Retail,Consumer Staples,B2C","Fashion Nova is the top online fashion store for women & men. Shop sexy club dresses, jeans, shoes, bodysuits, skirts & more. Cheap & affordable fashion online",2006,"Canoga Park, CA 91303, USA",America/Los_Angeles,-8,,,,Los Angeles,91303,California,CA,United States,US,34.1989453,-118.597305,https://logo.clearbit.com/fashionnova.com,fashionnova,company/fashion-nova,FashionNova,811941728,"Global Fashion Brand ðŸŒŽ #NovaBabe ðŸ›ï¸ For all customer service inquiries, direct message us at @FashionNovaHelp! xoxo",143437,2,,https://t.co/tlenc86N5R,https://pbs.twimg.com/profile_images/955994323803258890/hZKRX6kt_normal.jpg,,FALSE,private,,,,1310,4593,580,251-1K,,,,$100M-$250M,,"twitter_button,cloud_flare,godaddy_nameserver,klaviyo,nosto,amazon_s3,amazon_payments,google_remarketing,vimeo,ios,talkable,google_tag_manager,shopify,justuno,paypal,facebook_advertiser,google_analytics,conversio,criteo,segment",
cettire.com,found,,,cettire.com,,,,"customerservice@cettire.com,legal@cettire.com",Information Technology,Software & Services,Internet Software & Services,Internet,56,42,"E-commerce,Internet,Consumer Staples,Technology,B2C",Shop Designer Luxury Fashion at Cettire.com,,,,,,,,,,,,,,,,https://logo.clearbit.com/cettire.com,,,,,,,,,,,,FALSE,private,,,,,6458,,,,,,,,"cloud_flare,godaddy_nameserver,go_squared,double_click,maxmind,google_remarketing,google_adwords,shopify,trustpilot,facebook_advertiser,google_analytics",
mnml.la,found,mnml,,mnml.la,mnml.email,,,help@mnml.la,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,59,45,"E-commerce,Consumer Discretionary,Apparel & Footwear,B2C",We believe in keeping things simple: progressive silhouettes and wardrobe staples sold directly to the consumer at a fair price.,,"3325 Manitou Ct, Mira Loma, CA 91752, USA",America/Los_Angeles,-8,3325,Manitou Court,,Jurupa Valley,91752,California,CA,United States,US,34.0289589,-117.5303846,,mnml.la,company/mnml-la,,,,,,,,,organization/mnml/timeline,FALSE,private,,,,,5413,10,43475,,,,,,"google_apps,cloud_flare,godaddy_nameserver,typekit_by_adobe,zendesk,double_click,amazon_s3,amazon_payments,google_remarketing,hotjar,google_adwords,mandrill,shopify,facebook_advertiser,google_analytics,conversio,privy,google_tag_manager",
stevemadden.com,found,Steve Madden,"Steven Madden, Ltd",stevemadden.com,"stevemadden.co,stevemaddenshiny.com,stevemadden.jp,stevemadden.ch,stevemadden.shoes,stevemadden.com.tr",,"+1 888-762-3336,+1 703-637-0022,+1 800-426-0282,+1 888-526-2881","SMPASS@SteveMadden.com,info@stevemadden.com",Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,31,42,"E-commerce,Consumer Staples,Retail,B2C","Steven Madden, Ltd., also known as Steve Madden, is a publicly traded company based in Long Island City, New York.",1990,"New York, NY, USA",America/New_York,-5,,,,New York,,New York,NY,United States,US,40.7127753,-74.0059728,https://logo.clearbit.com/stevemadden.com,stevemaddenshoes,company/steve-madden,SteveMadden,78120912,"Get support from @SteveMaddenHelp
#GenSteve",77636,58,New York City,http://t.co/zzk8ZHcLfg,https://pbs.twimg.com/profile_images/1146079043424522241/GQRIpmgf_normal.png,organization/steve-madden,FALSE,public,SHOOS,133588231,+1 718-446-1800,5011,12447,2380,1K-5K,2310000000,,1653609000,$1B-$10B,12,"bing_advertiser,cloud_flare,typekit_by_adobe,microsoft_office_365,swell_rewards,yotpo,google_tag_manager,shopify,klaviyo,facebook_advertiser,google_analytics,hotjar,conversio",
