,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech,company_tech
myshopify.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
colourpop.com,google_apps,cloudinary,aws_route_53,cloud_flare,dynamic_yield,klaviyo,zendesk,double_click,youtube,google_remarketing,yotpo,alexa,google_adwords,facebook_connect,talkable,google_tag_manager,shopify,typekit_by_adobe,bing_advertiser,trustpilot,facebook_advertiser,google_analytics,conversio,,,,
cupshe.com,bing_advertiser,cloud_flare,live_chat,godaddy_nameserver,microsoft_exchange_online,taboola_ads,facebook_advertiser,outlook,microsoft_office_365,yotpo,steel_house,ios,facebook_connect,shopify,klaviyo,go_squared,google_analytics,criteo,google_tag_manager,,,,,,,,
allbirds.com,google_apps,iterable,cloud_flare,track_js,contentful,zendesk,mailchimp,amazon_payments,mandrill,google_tag_manager,mailgun,shopify,bing_advertiser,cloudinary,facebook_advertiser,google_analytics,conversio,,,,,,,,,,
jbhifi.com.au,aws_route_53,cloud_flare,contentful,klaviyo,microsoft_exchange_online,postmark,outlook,microsoft_office_365,google_analytics,amazon_ses,google_tag_manager,salesforce,shopify,google_maps,bing_advertiser,inspectlet,crazy_egg,facebook_advertiser,,,,,,,,,
fashionnova.com,twitter_button,cloud_flare,godaddy_nameserver,klaviyo,nosto,amazon_s3,amazon_payments,google_remarketing,vimeo,ios,talkable,google_tag_manager,shopify,justuno,paypal,facebook_advertiser,google_analytics,conversio,criteo,segment,,,,,,,
cettire.com,cloud_flare,godaddy_nameserver,go_squared,double_click,maxmind,google_remarketing,google_adwords,shopify,trustpilot,facebook_advertiser,google_analytics,,,,,,,,,,,,,,,,
mnml.la,Google Apps,Cloud Flare,Godaddy Nameserver,Typekit By Adobe,Zendesk,Double Click,Amazon S3,Amazon Payments,Google Remarketing,Hotjar,Google Adwords,Mandrill,Shopify,Facebook Advertiser,Google Analytics,Conversio,Privy,Google Tag Manager,,,,,,,,,
stevemadden.com,bing_advertiser,cloud_flare,typekit_by_adobe,microsoft_office_365,swell_rewards,yotpo,google_tag_manager,shopify,klaviyo,facebook_advertiser,google_analytics,hotjar,conversio,,,,,,,,,,,,,,
ripndipclothing.com,cloud_flare,godaddy_nameserver,klaviyo,amazon_s3,amazon_payments,youtube,google_tag_manager,shopify,facebook_advertiser,google_analytics,conversio,,,,,,,,,,,,,,,,
childofwild.com,google_apps,cloud_flare,godaddy_nameserver,amazon_s3,shopify,facebook_advertiser,google_analytics,conversio,privy,google_tag_manager,,,,,,,,,,,,,,,,,
jeffreestarcosmetics.com,google_apps,cloud_flare,godaddy_nameserver,amazon_s3,amazon_payments,microsoft_office_365,help_scout,alexa,hotjar,shopify,facebook_advertiser,google_analytics,google_tag_manager,,,,,,,,,,,,,,
giuliofashion.com,cloud_flare,microsoft_exchange_online,outlook,microsoft_office_365,google_analytics,shopify,,,,,,,,,,,,,,,,,,,,,
gymshark.com,new_relic,cloud_flare,live_chat,nosto,double_click,microsoft_exchange_online,maxmind,outlook,microsoft_office_365,google_remarketing,google_adwords,mandrill,google_tag_manager,shopify,facebook_advertiser,google_analytics,conversio,,,,,,,,,,
reddressboutique.com,chart_beat,cloud_flare,godaddy_nameserver,amazon_s3,amazon_payments,zopim,yotpo,alexa,steel_house,shopify,emarsys,pinterest,facebook_advertiser,google_analytics,conversio,google_tag_manager,,,,,,,,,,,
lakenzie.com,google_apps,cloud_flare,godaddy_nameserver,amazon_s3,youtube,optimonk,shopify,vimeo,go_squared,facebook_advertiser,google_analytics,privy,,,,,,,,,,,,,,,
swaggsauce.com,cloud_flare,godaddy_nameserver,microsoft_exchange_online,outlook,microsoft_office_365,shopify,twitter_button,facebook_advertiser,google_analytics,adroll,google_tag_manager,,,,,,,,,,,,,,,,
fab.com,google_apps,cloud_flare,godaddy_nameserver,sendgrid,intercom,vimeo,amazon_ses,shopify,facebook_advertiser,hotjar,facebook_connect,klaviyo,google_analytics,conversio,google_tag_manager,,,,,,,,,,,,
balr.jp,cloud_flare,amazon_s3,google_tag_manager,shopify,google_analytics,,,,,,,,,,,,,,,,,,,,,,
inspireuplift.com,twitter_button,cloud_flare,godaddy_nameserver,klaviyo,microsoft_exchange_online,google_adsense,taboola_ads,amazon_s3,outlook,microsoft_office_365,steel_house,facebook_connect,talkable,shopify,justuno,trustpilot,tawk,facebook_advertiser,google_analytics,conversio,criteo,google_tag_manager,,,,,
thirdlove.com,google_apps,heap,aws_route_53,cloud_flare,dynamic_yield,zendesk,amazon_payments,swell_rewards,google_analytics,mandrill,google_tag_manager,mailgun,shopify,bing_advertiser,bugsnag,appboy,jw_player,facebook_advertiser,hotjar,conversio,criteo,,,,,,
beeinspiredclothing.com,cloud_flare,nosto,double_click,trustpilot,amazon_s3,amazon_payments,google_remarketing,adroll,google_adwords,facebook_connect,shopify,facebook_advertiser,zopim,google_analytics,criteo,google_tag_manager,,,,,,,,,,,
sisterjane.com,google_apps,cloud_flare,zendesk,amazon_s3,shopify,twitter_button,facebook_advertiser,google_analytics,,,,,,,,,,,,,,,,,,,
kingice.com,rackspace_email,cloud_flare,godaddy_nameserver,amazon_payments,youtube,zopim,google_analytics,shopify,klaviyo,facebook_advertiser,conversio,google_tag_manager,,,,,,,,,,,,,,,
aloyoga.com,heap,visual_website_optimizer,cloud_flare,godaddy_nameserver,microsoft_exchange_online,postmark,mailchimp,amazon_s3,amazon_payments,outlook,youtube,microsoft_office_365,mandrill,amazon_ses,facebook_connect,talkable,google_tag_manager,salesforce,shopify,recaptcha,fullstory,sentry,facebook_advertiser,google_analytics,conversio,,
usatuan.com,cloud_flare,godaddy_nameserver,shopify,twitter_button,,,,,,,,,,,,,,,,,,,,,,,
kith.com,cloud_flare,godaddy_nameserver,klaviyo,shopify,facebook_advertiser,google_analytics,google_tag_manager,,,,,,,,,,,,,,,,,,,,
lackofcolor.com.au,google_apps,aws_route_53,cloud_flare,klaviyo,mailchimp,adroll,shopify,pinterest,facebook_advertiser,google_analytics,conversio,google_tag_manager,,,,,,,,,,,,,,,
brooklinen.com,google_apps,amazon_associates,optimizely,cloud_flare,dynamic_yield,live_chat,godaddy_nameserver,klaviyo,zendesk,taboola_ads,facebook_advertiser,amazon_payments,sidecar,swell_rewards,yotpo,hotjar,steel_house,facebook_connect,mailgun,shopify,typekit_by_adobe,google_analytics,conversio,criteo,google_tag_manager,,
gfuel.com,cloud_flare,hubspot,amazon_s3,amazon_payments,youtube,swell_rewards,adroll,shopify,justuno,facebook_advertiser,piwik,google_analytics,conversio,google_tag_manager,,,,,,,,,,,,,
dailysteals.com,bing_advertiser,google_apps,cloud_flare,godaddy_nameserver,nosto,zendesk,amazon_s3,sendgrid,amazon_payments,swell_rewards,yotpo,ios,facebook_connect,google_tag_manager,shopify,express,heroku,mouseflow,klaviyo,facebook_advertiser,google_analytics,criteo,,,,,
ghospell.com,cloud_flare,zendesk,amazon_s3,shopify,facebook_advertiser,google_analytics,,,,,,,,,,,,,,,,,,,,,
creativebooster.net,namecheap_dns,cloud_flare,google_adsense,amazon_s3,google_analytics,shopify,privy,,,,,,,,,,,,,,,,,,,,
thecriticalslidesociety.com,twitter_button,inspectlet,cloud_flare,shopify,facebook_advertiser,google_analytics,conversio,google_tag_manager,,,,,,,,,,,,,,,,,,,
whitefoxboutique.com,google_apps,cloud_flare,amazon_s3,google_analytics,hotjar,mandrill,shopify,facebook_advertiser,zopim,conversio,google_tag_manager,,,,,,,,,,,,,,,,
cymatics.fm,google_apps,cloud_flare,hubspot,zendesk,amazon_s3,mandrill,google_tag_manager,shopify,wordpress,facebook_advertiser,piwik,google_analytics,sumo,,,,,,,,,,,,,,
zgla.com,bing_advertiser,cloud_flare,godaddy_nameserver,double_click,facebook_advertiser,amazon_payments,google_remarketing,zopim,google_adwords,facebook_connect,shopify,google_analytics,privy,,,,,,,,,,,,,,
mclabels.com,google_apps,twitter_button,yandex_metrica,cloud_flare,amazon_s3,facebook_advertiser,facebook_social_plugins,facebook_connect,google_tag_manager,shopify,amazon_payments,google_analytics,conversio,,,,,,,,,,,,,,
huel.com,google_apps,namecheap_dns,cloud_flare,double_click,crazy_egg,trustpilot,maxmind,amazon_s3,amazon_payments,google_remarketing,google_adwords,google_tag_manager,shopify,instagram,vimeo,facebook_advertiser,google_analytics,criteo,,,,,,,,,
andi-bagus.com,google_apps,cloud_flare,godaddy_nameserver,amazon_s3,facebook_connect,shopify,facebook_advertiser,google_analytics,conversio,google_tag_manager,,,,,,,,,,,,,,,,,
