Keyword,Search Volume (Global),CPC (Global),Competition (Global)
colourpop cosmetics,"33,100",$0.22,0.91
cupshe,260,$0.10,0.21
allbirds,"3,900",$0.21,0.4
jb hi fi,"2,240,000",$0.11,0.03
fashion nova,"220,000",$0.60,0.1
mnml,"12,800",$0.35,0.19
steve madden,"1,220,000",$0.13,0.76
ripndip,"246,000",$0.19,1
child of wild,"4,400",$3.96,0.07
jeffree star,"1,830,000",$0.43,0.41
giulio fashion,880,$1.76,0.02
gymshark,"2,240,000",$0.33,0.67
red dress boutique,"90,500",$0.16,0.28
az swagg sauce,390,$0.19,0.03
fab com,"3,600",$0.20,0.08
balr,"110,000",$0.14,0.99
inspire uplift,310,$0.24,1
thirdlove,"301,000",$0.37,0.19
bee inspired clothing,"9,900",$0.55,0.45
sister jane,"22,200",$0.58,1
king ice,"90,500",$0.15,0.16
alo yoga,"110,000",$0.94,0.56
kith,"246,000",$0.97,0.2
lack of color,"27,100",$0.54,1
brooklinen,"90,500",$1.02,0.99
g fuel,"135,000",$0.20,0.85
daily steals,"14,800",$0.25,0.18
creativebooster,0,$0.00,0
the critical slide society,"1,600",$0.55,0.31
white fox boutique,"110,000",$1.46,0.02
cymatics fm,"1,600",$2.09,0.03
zgla,390,$0.29,0.38
mclabels,880,$0.04,0.19
huel,"4,300",$0.35,0.82
andibagus,0,$0.00,0
car tots,480,$0.28,1
the music zoo,"3,600",$0.06,0.11
riccardi,"6,600",$0.17,0
zinus,"1,300",$1.04,0.65
outdoor voices,"135,000",$0.44,0.31
zpacks,"49,500",$0.80,0.36
proozy,"8,100",$0.02,0.13
vital proteins,340,$1.20,1
vitaly,"246,000",$0.23,0.06
ax paris,"135,000",$0.48,0.08
isawitfirst com,0,$0.00,0
dezzn,0,$0.00,0
kylie cosmetics,"180,000",$0.15,0.37
vapor com,720,$0.54,0.6
samu foods & bev,0,$0.00,0
live fit apparel,"5,400",$0.86,0.42
zoofashions,590,$0.10,0.32
buffy,"110,000",$0.13,0.04
guapi clothing,"1,300",$0.75,0.25
sinners attire,"14,800",$0.34,0.88
nomatic,"27,100",$0.72,0.91
bombas,"190,000",$0.10,0.12
culture kings,"368,000",$0.28,0.2
urban industry,"27,100",$1.11,0.03
unif,"110,000",$0.09,0.13
figs,"550,000",$0.27,0.56
hawkers co,880,$0.13,0.64
citiesocial,0,$0.00,0
cool shirtz,"22,200",$0.71,0.17
eightvape,"4,400",$0.18,0.03
rhinoshield,"13,300",$0.57,0.32
carola zeta,0,$0.00,0
overtone,"8,700",$0.13,0.34
knockaround,"22,200",$0.22,0.76
rhone,"60,500",$0.27,0.54
the sill,"1,900",$1.24,0.16
diff,"90,500",$0.12,0.04
thinx,"110,000",$1.63,0.64
factory outlet store,"9,900",$0.28,0.19
blenders eyewear,"60,500",$0.18,0.56
vapordna,480,$0.82,0
chubbies,"135,000",$1.08,0.12
rxmance,480,$0.33,0.63
state of escape,"12,100",$0.29,1
hat and beyond,590,$0.27,0.64
summersalt,"2,600",$0.65,0.76
lovepop cards,"40,500",$0.56,1
smoke cartel,"8,100",$12.81,0.01
famovape,0,$0.00,0
ruggable,"165,000",$0.54,0.59
