IP Range,23.227.38.0 - 23.227.38.255,,https://myip.ms/browse/sites/1/ipID/23.227.38.0/ipIDii/23.227.38.255/sort/6/asc/1#top,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Domain Info,,,,,,,,,,,,,,,,,SEO,,,,,,
No,Web Site,Website IP Address,Web Hosting Company / IP Owner,Web Hosting / Server IP Location,Web Hosting City,World Site Popular Rating,World Site Popular Rating (MyIP),Alexa Global Ranking,TLD,Company Name (Clearbit),Description (Clearbit),Selling?,Country (Clearbit),Category,SIC (Standard Industrial Classification),NAICs,Estimated Revenue (Clearbit),Reported Revenue (Clearbit),Brand Search Volume (Keywords Everywhere),Referring Domains (Ahrefs),Backlinks (Ahrefs),Keywords (Ahrefs),Traffic (Ahrefs)
1,myshopify.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,# 78,78,N/A,com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,347344,176345082,3397218,1719963
2,colourpop.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 2,787","2,787",2461,com,ColourPop Cosmetics,"ColourPop Cosmetics, also known as ColourPop, is a cosmetics brand based in Los Angeles, California.",Cosmetics,US,Cosmetics,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,33100,8432,154260,227708,1411194
3,cupshe.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 3,917","3,917",11777,com,Cupshe,To inspire confidence and beauty through redefined and affordable fashion.,Apparel,GB,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,$1M-$10M,,260,1315,29288,26430,85655
4,allbirds.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 4,707","4,707",13992,com,Allbirds,Allbirds is an American company which uses a direct-to-consumer approach and is aimed at designing environmentally friendly footwear.,DTC footwear,US,"Apparel, Accessories & Luxury Goods",Agricultural Services,"Agriculture,Forestry,FishingandHunting",$10M-$50M,,3900,3880,73413,61847,195091
5,jbhifi.com.au,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 5,108","5,108",5952,com.au,JB Hi-Fi,JB Hi-Fi is a publicly listed Australian retailer that sells and specialises in consumer goods.,Electronics,AU,Consumer Electronics,Retail-Miscellaneous Retail,RetailTrade,$1B-$10B,"$2,911,360,000",,9075,869660,1349068,4539336
6,fashionnova.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 5,298","5,298",4593,com,Fashion Nova,"Fashion Nova is the top online fashion store for women & men. Shop sexy club dresses, jeans, shoes, bodysuits, skirts & more. Cheap & affordable fashion online",Apparel,US,"Apparel, Accessories & Luxury Goods",Apparel & Other Finished Prods of Fabrics & Similar Matl,Manufacturing,$100M-$250M,,220000,7190,1462422,913043,2857614
7,cettire.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 5,716","5,716",6458,com,,Shop Designer Luxury Fashion at Cettire.com,Apparel,,Internet,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,,164,10898,33793,884
8,mnml.la,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 6,069","6,069",5413,la,mnml,We believe in keeping things simple: progressive silhouettes and wardrobe staples sold directly to the consumer at a fair price.,Apparel,US,Consumer Discretionary,Retail-Miscellaneous Retail,RetailTrade,,,12800,542,39644,23733,111485
9,stevemadden.com,23.227.38.64,"Shopify, Inc",Canada,Ottawa,"# 7,443","7,443",12447,com,Steve Madden,"Steven Madden, Ltd., also known as Steve Madden, is a publicly traded company based in Long Island City, New York.",Footwear,US,Consumer Staples,Leather & Leather Products,WholesaleTrade in United States,$1B-$10B,"$1,653,609,000",1220000,15757,546080,278521,610700
10,ripndipclothing.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 7,484","7,484",10388,com,RIPNDIP,"RipNDip Clothing, Accessories, And Footwear That You Must Have. RIPNDIP Tees, Socks, Accessories, Lord Nermal, Slides, Shoes, Jackets, Hoodies, And More! We Bad.",Footwear,,Consumer Staples,Retail-Apparel & Accessory Stores,WholesaleTrade in United States,,,246000,792,309907,49209,172968
