Category,Name,Variant Name,Price,URL,SKU
b'Bodysuit',b'adidas x IVY PARK TT Bodysuit - Maroon',b'XXS',b'65.00',b'https://kith.com/products/adidas-x-ivy-park-tt-bodysuit-maroon',b'14262390'
b'Bodysuit',b'adidas x IVY PARK TT Bodysuit - Maroon',b'XS',b'65.00',b'https://kith.com/products/adidas-x-ivy-park-tt-bodysuit-maroon',b'191978122006'
b'Bodysuit',b'adidas x IVY PARK TT Bodysuit - Maroon',b'S',b'65.00',b'https://kith.com/products/adidas-x-ivy-park-tt-bodysuit-maroon',b'191978122013'
b'Bodysuit',b'adidas x IVY PARK TT Bodysuit - Maroon',b'M',b'65.00',b'https://kith.com/products/adidas-x-ivy-park-tt-bodysuit-maroon',b'191978121986'
b'Bodysuit',b'adidas x IVY PARK TT Bodysuit - Maroon',b'L',b'65.00',b'https://kith.com/products/adidas-x-ivy-park-tt-bodysuit-maroon',b'191978121993'
b'Bodysuit',b'adidas x IVY PARK TT Bodysuit - Maroon',b'XL',b'65.00',b'https://kith.com/products/adidas-x-ivy-park-tt-bodysuit-maroon',b'191978122020'
b'Bodysuit',b'adidas x IVY PARK TT Bodysuit - Maroon',b'XXL',b'65.00',b'https://kith.com/products/adidas-x-ivy-park-tt-bodysuit-maroon',b'14262396'
b'Bodysuit',b'adidas x IVY PARK TT Bodysuit - Maroon',b'XXXL',b'65.00',b'https://kith.com/products/adidas-x-ivy-park-tt-bodysuit-maroon',b'14262397'
b'Bras',b'adidas x IVY PARK Strappy Cutout Bra - Maroon / Solar Orange',b'XXS',b'45.00',b'https://kith.com/products/adidas-x-ivy-park-strappy-cutout-bra-maroon-solar-orange',b'14262286'
b'Bras',b'adidas x IVY PARK Strappy Cutout Bra - Maroon / Solar Orange',b'XS',b'45.00',b'https://kith.com/products/adidas-x-ivy-park-strappy-cutout-bra-maroon-solar-orange',b'191978124765'
b'Bras',b'adidas x IVY PARK Strappy Cutout Bra - Maroon / Solar Orange',b'S',b'45.00',b'https://kith.com/products/adidas-x-ivy-park-strappy-cutout-bra-maroon-solar-orange',b'191978124734'
b'Bras',b'adidas x IVY PARK Strappy Cutout Bra - Maroon / Solar Orange',b'M',b'45.00',b'https://kith.com/products/adidas-x-ivy-park-strappy-cutout-bra-maroon-solar-orange',b'191978124727'
b'Bras',b'adidas x IVY PARK Strappy Cutout Bra - Maroon / Solar Orange',b'L',b'45.00',b'https://kith.com/products/adidas-x-ivy-park-strappy-cutout-bra-maroon-solar-orange',b'191978124758'
b'Bras',b'adidas x IVY PARK Strappy Cutout Bra - Maroon / Solar Orange',b'XL',b'45.00',b'https://kith.com/products/adidas-x-ivy-park-strappy-cutout-bra-maroon-solar-orange',b'191978124741'
b'Bras',b'adidas x IVY PARK Strappy Cutout Bra - Maroon / Solar Orange',b'XXL',b'45.00',b'https://kith.com/products/adidas-x-ivy-park-strappy-cutout-bra-maroon-solar-orange',b'14262292'
b'Bras',b'adidas x IVY PARK Strappy Cutout Bra - Maroon / Solar Orange',b'XXXL',b'45.00',b'https://kith.com/products/adidas-x-ivy-park-strappy-cutout-bra-maroon-solar-orange',b'14262293'
b'Pants',b'adidas x IVY PARK Snap Track Pant - Ecru Tint / Maroon',b'XXS',b'95.00',b'https://kith.com/products/adidas-x-ivy-park-snap-track-pant-ecru-tint-maroon',b'14262438'
b'Pants',b'adidas x IVY PARK Snap Track Pant - Ecru Tint / Maroon',b'XS',b'95.00',b'https://kith.com/products/adidas-x-ivy-park-snap-track-pant-ecru-tint-maroon',b'191978129715'
b'Pants',b'adidas x IVY PARK Snap Track Pant - Ecru Tint / Maroon',b'S',b'95.00',b'https://kith.com/products/adidas-x-ivy-park-snap-track-pant-ecru-tint-maroon',b'191978129739'
