Category,Name,Variant Name,Price,URL,SKU
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),5,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT050
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),5.5,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT055
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),6,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT060
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),6.5,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT065
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),7,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT070
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),7.5,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT075
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),8,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT080
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),8.5,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT085
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),9,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT090
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),9.5,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT095
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),10,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT100
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),10.5,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT105
Shoes,Women's Tree Breezers - Navy Night (Dark Navy Sole),11,95.00,https://allbirds.com/products/womens-tree-breezers-navy-night,TB1WNNT110
Shoes,Men's Tree Runners - Navy Night (Dark Navy Sole),8,95.00,https://allbirds.com/products/mens-tree-runners-navy-night,TR2MNNT080
Shoes,Men's Tree Runners - Navy Night (Dark Navy Sole),9,95.00,https://allbirds.com/products/mens-tree-runners-navy-night,TR2MNNT090
Shoes,Men's Tree Runners - Navy Night (Dark Navy Sole),10,95.00,https://allbirds.com/products/mens-tree-runners-navy-night,TR2MNNT100
Shoes,Men's Tree Runners - Navy Night (Dark Navy Sole),11,95.00,https://allbirds.com/products/mens-tree-runners-navy-night,TR2MNNT110
Shoes,Men's Tree Runners - Navy Night (Dark Navy Sole),12,95.00,https://allbirds.com/products/mens-tree-runners-navy-night,TR2MNNT120
Shoes,Men's Tree Runners - Navy Night (Dark Navy Sole),13,95.00,https://allbirds.com/products/mens-tree-runners-navy-night,TR2MNNT130
Shoes,Men's Tree Runners - Navy Night (Dark Navy Sole),14,95.00,https://allbirds.com/products/mens-tree-runners-navy-night,TR2MNNT140
Socks,Trino™ Tubers - Poppy,S (W5-7),16.00,https://allbirds.com/products/trino-tm-tubers-poppy,ST1UPPY101
Socks,Trino™ Tubers - Poppy,M (W8-10 / M8),16.00,https://allbirds.com/products/trino-tm-tubers-poppy,ST1UPPY102
Socks,Trino™ Tubers - Poppy,L (W11 / M9-12),16.00,https://allbirds.com/products/trino-tm-tubers-poppy,ST1UPPY103
Socks,Trino™ Tubers - Poppy,XL (M13-14),16.00,https://allbirds.com/products/trino-tm-tubers-poppy,ST1UPPY104
Socks,Trino™ Hiders - Poppy,S (W5-7),12.00,https://allbirds.com/products/trino-tm-hiders-poppy,SH1UPPY101
Socks,Trino™ Hiders - Poppy,M (W8-10 / M8),12.00,https://allbirds.com/products/trino-tm-hiders-poppy,SH1UPPY102
Socks,Trino™ Hiders - Poppy,L (W11 / M9-12),12.00,https://allbirds.com/products/trino-tm-hiders-poppy,SH1UPPY103
Socks,Trino™ Hiders - Poppy,XL (M13-14),12.00,https://allbirds.com/products/trino-tm-hiders-poppy,SH1UPPY104
Socks,Trino™ Quarters - Poppy,S (W5-7),14.00,https://allbirds.com/products/trino-tm-quarters-poppy,SQ1UPPY101
Socks,Trino™ Quarters - Poppy,M (W8-10 / M8),14.00,https://allbirds.com/products/trino-tm-quarters-poppy,SQ1UPPY102
Socks,Trino™ Quarters - Poppy,L (W11 / M9-12),14.00,https://allbirds.com/products/trino-tm-quarters-poppy,SQ1UPPY103
Socks,Trino™ Quarters - Poppy,XL (M13-14),14.00,https://allbirds.com/products/trino-tm-quarters-poppy,SQ1UPPY104
Shoes,Women's Wool Loungers - Storm (Blue Grey Sole),5,95.00,https://allbirds.com/products/womens-wool-loungers-storm,WL2WSTM050
Shoes,Women's Wool Loungers - Storm (Blue Grey Sole),6,95.00,https://allbirds.com/products/womens-wool-loungers-storm,WL2WSTM060
Shoes,Women's Wool Loungers - Storm (Blue Grey Sole),7,95.00,https://allbirds.com/products/womens-wool-loungers-storm,WL2WSTM070
Shoes,Women's Wool Loungers - Storm (Blue Grey Sole),8,95.00,https://allbirds.com/products/womens-wool-loungers-storm,WL2WSTM080
Shoes,Women's Wool Loungers - Storm (Blue Grey Sole),9,95.00,https://allbirds.com/products/womens-wool-loungers-storm,WL2WSTM090
Shoes,Women's Wool Loungers - Storm (Blue Grey Sole),10,95.00,https://allbirds.com/products/womens-wool-loungers-storm,WL2WSTM100
Shoes,Women's Wool Loungers - Storm (Blue Grey Sole),11,95.00,https://allbirds.com/products/womens-wool-loungers-storm,WL2WSTM110
Shoes,Women's Tree Runners - Navy Night (Dark Navy Sole),5,95.00,https://allbirds.com/products/womens-tree-runners-navy-night,TR2WNNT050
Shoes,Women's Tree Runners - Navy Night (Dark Navy Sole),6,95.00,https://allbirds.com/products/womens-tree-runners-navy-night,TR2WNNT060
Shoes,Women's Tree Runners - Navy Night (Dark Navy Sole),7,95.00,https://allbirds.com/products/womens-tree-runners-navy-night,TR2WNNT070
