Category,Name,Variant Name,Price,URL,SKU
Set,Melt For You,,24.00,https://colourpop.com/products/melt-for-you-palette,Bundle-MeltForYou
Set,Multi-Masking Mask,,54.00,https://colourpop.com/products/multi-masking-face-mask-set,Bundle-MultiMaskingMask
Kit,Stay The Night,,18.00,https://colourpop.com/products/stay-the-night-cleanser-moisturizer-kit,Kit-StayTheNight
Set,Pink Lady Glow,,18.00,https://colourpop.com/products/pink-lady-glow,Bundle-PinkLadyGlow
Set,Hustle & Glow,,25.00,https://colourpop.com/products/hustle-glow,Bundle-HustleandGlow
Mini SOL Shimmering Dry Oil,Soft Pink,,10.00,https://colourpop.com/products/soft-pink-shimmer-dry-body-oil,ShimmerDryOil-MiniSoftPink
SOL Mini Shimmering Body Powder,Soft Pink,,10.00,https://colourpop.com/products/soft-pink-face-body-highlighter,ShimmerPowder-MiniSoftPink
Mini Size Kit,Better Together,,12.00,https://colourpop.com/products/better-together-glitter-gel-kit,Kit-BetterTogether
Falsies Faux Lashes,Lover,,8.00,https://colourpop.com/products/lover-faux-false-eyelashes,Lashes-Lover
Falsies Faux Lashes,Bae,,8.00,https://colourpop.com/products/bae-faux-false-eyelashes,Lashes-Bae
Crème Gel Colour,Hustla,,7.00,https://colourpop.com/products/hustla-metallic-black-gel-eyeliner-pot,CremeGelColour-Hustla
Crème Gel Liner,Hustla Liner,,6.00,https://colourpop.com/products/hustla-metallic-black-eyeliner,CremeGelLiner-Hustla
Shadow Palette,All That,,18.00,https://colourpop.com/products/all-that-eyeshadow-palette,EyePalette-AllThat
Felt-Tip Liquid Liner,Numero Uno,,8.00,https://colourpop.com/products/numero-uno,BFFLiner-NumeroUno
Set,Rose Goals,,68.00,https://colourpop.com/products/rose-goals-set,Bundle-RoseGoals
Set,So Treenz,,50.00,https://colourpop.com/products/so-treenz-set,Bundle-SoTreenz
Set,Glow Goddess,,55.00,https://colourpop.com/products/glow-goddess-set,Bundle-Glow Goddess
Set,PB & J,,42.00,https://colourpop.com/products/pb-j-set,Bundle-PBandJ
Set,"Si Yo Puedo, Tú También Puedes!",,50.00,https://colourpop.com/products/si-yo-puedo-tu-tambien-puedes-set,Bundle-SiYoPuedo
Set,Young & In Love,,41.00,https://colourpop.com/products/young-in-love-set,Bundle-YoungAndInLove
Set,Be Mine,,47.00,https://colourpop.com/products/be-mine-makeup-set,Bundle-BeMine
Set,Everyday Essentials,,41.00,https://colourpop.com/products/everyday-essentials-makeup-set,Bundle-EverydayEssentials
Lip Bundle,Drop A Hint,,15.00,https://colourpop.com/products/drop-a-hint-lux-liquid-lip-kit,LipBundle-DropAHint
Lip Bundle,Hazy Baby,,15.00,https://colourpop.com/products/hazy-baby-lux-liquid-lip-kit,LipBundle-HazyBaby
Lip Bundle,What The Fluff,,15.00,https://colourpop.com/products/what-the-fluff-lux-liquid-lip-kit,LipBundle-WhatTheFluff
Lip Bundle,Kiss The Dusk,,15.00,https://colourpop.com/products/kiss-the-dusk-lux-liquid-lip-kit,LipBundle-KissTheDusk
Lip Bundle,Lofty Goals,,15.00,https://colourpop.com/products/lofty-goals-lux-liquid-lip-kit,LipBundle-LoftyGoals
Lip Bundle,Puff Mami,,15.00,https://colourpop.com/products/puff-mami-lux-liquid-lip-kit,LipBundle-PuffMami
Lip Bundle,Powder Room,,15.00,https://colourpop.com/products/powder-room-lux-liquid-lipstick-kit,LipBundle-PowderRoom
Lux Liquid Lip,Keep It Koi,,8.00,https://colourpop.com/products/keep-it-koi-pink-lux-liquid-lipstick,LuxLiquidLip-KeepItKoi
Lux Liquid Lip,Genie,,8.00,https://colourpop.com/products/genie-pink-lux-liquid-lipstick,LuxLiquidLip-Genie
