Category,Name,Variant Name,Price,URL,SKU
One Piece,Pink Flamingo One-Piece Swimsuit,M Mint Green/Pink,24.50,https://cupshe.com/products/pink-flamingo-one-piece-swimsuit,AB10282MM
One Piece,Pink Flamingo One-Piece Swimsuit,S Mint Green/Pink,24.50,https://cupshe.com/products/pink-flamingo-one-piece-swimsuit,AB10282MS
One Piece,Pink Flamingo One-Piece Swimsuit,L Mint Green/Pink,24.50,https://cupshe.com/products/pink-flamingo-one-piece-swimsuit,AB10282ML
One Piece,Pink Flamingo One-Piece Swimsuit,XL Mint Green/Pink,24.50,https://cupshe.com/products/pink-flamingo-one-piece-swimsuit,AB10282MXL
One Piece,Pink Flamingo One-Piece Swimsuit,XXL Mint Green/Pink,24.50,https://cupshe.com/products/pink-flamingo-one-piece-swimsuit,AB10282MXXL
Bikini,Peach Bandeau With High-waist Suspender Bikini,M Pink,30.99,https://cupshe.com/products/peach-bandeau-with-high-waist-suspender-bikini,AA30039FM
Bikini,Peach Bandeau With High-waist Suspender Bikini,S Pink,30.99,https://cupshe.com/products/peach-bandeau-with-high-waist-suspender-bikini,AA30039FS
Bikini,Peach Bandeau With High-waist Suspender Bikini,L Pink,30.99,https://cupshe.com/products/peach-bandeau-with-high-waist-suspender-bikini,AA30039FL
Bikini,Peach Bandeau With High-waist Suspender Bikini,XL Pink,30.99,https://cupshe.com/products/peach-bandeau-with-high-waist-suspender-bikini,AA30039FXL
Bikini,Peach Bandeau With High-waist Suspender Bikini,XXL Pink,30.99,https://cupshe.com/products/peach-bandeau-with-high-waist-suspender-bikini,AA30039FXXL
Bikini,Peach Bandeau With High-waist Suspender Bikini,XS Pink,30.99,https://cupshe.com/products/peach-bandeau-with-high-waist-suspender-bikini,AA30039FXS
Cover Up,Colorful Tassel Trim Cover Up,ONE SIZE Multi-Color,27.99,https://cupshe.com/products/colorful-tassel-trim-cover-up,FC40236M
Cover Up,White Lace Slit Cover Up,ONE SIZE White,32.99,https://cupshe.com/products/white-lace-slit-cover-up,FC30227W
Dress,White Off-The-Shoulder Mini Dress,M White,27.99,https://cupshe.com/products/white-off-the-shoulder-mini-dress,CC90420WM
Dress,White Off-The-Shoulder Mini Dress,S White,27.99,https://cupshe.com/products/white-off-the-shoulder-mini-dress,CC90420WS
Dress,White Off-The-Shoulder Mini Dress,L White,27.99,https://cupshe.com/products/white-off-the-shoulder-mini-dress,CC90420WL
Dress,White Off-The-Shoulder Mini Dress,XL White,27.99,https://cupshe.com/products/white-off-the-shoulder-mini-dress,CC90420WXL
Bikini,Tropical Line Bandeau Bikini Set,M Multi-Color,19.99,https://cupshe.com/products/tropical-line-bandeau-bikini-set,ADB5005MM
Bikini,Tropical Line Bandeau Bikini Set,XS Multi-Color,19.99,https://cupshe.com/products/tropical-line-bandeau-bikini-set,ADB5005MXS
Bikini,Tropical Line Bandeau Bikini Set,S Multi-Color,19.99,https://cupshe.com/products/tropical-line-bandeau-bikini-set,ADB5005MS
Bikini,Tropical Line Bandeau Bikini Set,L Multi-Color,19.99,https://cupshe.com/products/tropical-line-bandeau-bikini-set,ADB5005ML
Bikini,Tropical Line Bandeau Bikini Set,XL Multi-Color,19.99,https://cupshe.com/products/tropical-line-bandeau-bikini-set,ADB5005MXL
Bikini,Tropical Line Bandeau Bikini Set,XXL Multi-Color,19.99,https://cupshe.com/products/tropical-line-bandeau-bikini-set,ADB5005MXXL
Bikini,Floral Print High-Waisted Bikini with Black Trim,M Multi-Color,24.99,https://cupshe.com/products/floral-print-high-waisted-bikini-with-black-trim,ADB4006MM
Bikini,Floral Print High-Waisted Bikini with Black Trim,XS Multi-Color,24.99,https://cupshe.com/products/floral-print-high-waisted-bikini-with-black-trim,ADB4006MXS
Bikini,Floral Print High-Waisted Bikini with Black Trim,S Multi-Color,24.99,https://cupshe.com/products/floral-print-high-waisted-bikini-with-black-trim,ADB4006MS
Bikini,Floral Print High-Waisted Bikini with Black Trim,L Multi-Color,24.99,https://cupshe.com/products/floral-print-high-waisted-bikini-with-black-trim,ADB4006ML
Bikini,Floral Print High-Waisted Bikini with Black Trim,XL Multi-Color,24.99,https://cupshe.com/products/floral-print-high-waisted-bikini-with-black-trim,ADB4006MXL
Bikini,Floral Print High-Waisted Bikini with Black Trim,XXL Multi-Color,24.99,https://cupshe.com/products/floral-print-high-waisted-bikini-with-black-trim,ADB4006MXXL
Bikini-Blue,Navy Strappy Floral Print Bikini,M Multi-Color,17.99,https://cupshe.com/products/navy-strappy-floral-print-bikini,AC61393MM
Bikini-Blue,Navy Strappy Floral Print Bikini,S Multi-Color,17.99,https://cupshe.com/products/navy-strappy-floral-print-bikini,AC61393MS
Bikini-Blue,Navy Strappy Floral Print Bikini,L Multi-Color,17.99,https://cupshe.com/products/navy-strappy-floral-print-bikini,AC61393ML
Bikini-Blue,Navy Strappy Floral Print Bikini,XL Multi-Color,17.99,https://cupshe.com/products/navy-strappy-floral-print-bikini,AC61393MXL
Bikini-Blue,Navy Strappy Floral Print Bikini,XXL Multi-Color,17.99,https://cupshe.com/products/navy-strappy-floral-print-bikini,AC61393MXXL
Bikini-Blue,Navy and White Stripe Strappy Bikini,M Navy/White,21.99,https://cupshe.com/products/navy-and-white-stripe-strappy-bikini,AB31077SM
Bikini-Blue,Navy and White Stripe Strappy Bikini,XS Navy/White,21.99,https://cupshe.com/products/navy-and-white-stripe-strappy-bikini,AB31077SXS
