Category,Name,Variant Name,Price,URL,SKU
Mens Screen Tops,Today Was A Good Day Short Sleeve Tee - Black/White,S,19.99,https://fashionnova.com/products/today-was-a-good-day-short-sleeve-tee-black-white,19690708_Black/White_S
Mens Screen Tops,Today Was A Good Day Short Sleeve Tee - Black/White,M,19.99,https://fashionnova.com/products/today-was-a-good-day-short-sleeve-tee-black-white,19690708_Black/White_M
Mens Screen Tops,Today Was A Good Day Short Sleeve Tee - Black/White,L,19.99,https://fashionnova.com/products/today-was-a-good-day-short-sleeve-tee-black-white,19690708_Black/White_L
Mens Screen Tops,Today Was A Good Day Short Sleeve Tee - Black/White,XL,19.99,https://fashionnova.com/products/today-was-a-good-day-short-sleeve-tee-black-white,19690708_Black/White_XL
Mens Screen Tops,Today Was A Good Day Short Sleeve Tee - Black/White,XXL,19.99,https://fashionnova.com/products/today-was-a-good-day-short-sleeve-tee-black-white,19690708_Black/White_XXL
Mens Screen Tops,Today Was A Good Day Short Sleeve Tee - Black/White,XXXL,19.99,https://fashionnova.com/products/today-was-a-good-day-short-sleeve-tee-black-white,19690708_Black/White_XXXL
Mens Screen Tops,Be Kind Short Sleeve Tee - Yellow/combo,S,21.99,https://fashionnova.com/products/be-kind-short-sleeve-tee-yellow-combo,HNB1041XX_Yellow/combo_S
Mens Screen Tops,Be Kind Short Sleeve Tee - Yellow/combo,M,21.99,https://fashionnova.com/products/be-kind-short-sleeve-tee-yellow-combo,HNB1041XX_Yellow/combo_M
Mens Screen Tops,Be Kind Short Sleeve Tee - Yellow/combo,L,21.99,https://fashionnova.com/products/be-kind-short-sleeve-tee-yellow-combo,HNB1041XX_Yellow/combo_L
Mens Screen Tops,Be Kind Short Sleeve Tee - Yellow/combo,XL,21.99,https://fashionnova.com/products/be-kind-short-sleeve-tee-yellow-combo,HNB1041XX_Yellow/combo_XL
Mens Screen Tops,Be Kind Short Sleeve Tee - Yellow/combo,XXL,21.99,https://fashionnova.com/products/be-kind-short-sleeve-tee-yellow-combo,HNB1041XX_Yellow/combo_XXL
Mens Screen Tops,Be Kind Short Sleeve Tee - Yellow/combo,XXXL,21.99,https://fashionnova.com/products/be-kind-short-sleeve-tee-yellow-combo,HNB1041XX_Yellow/combo_XXXL
Mens Swimwear,Miami In 1997 Board Shorts - Blue/combo,S,19.99,https://fashionnova.com/products/miami-in-1997-board-shorts-blue-combo,D2124BC_Blue/combo_S
Mens Swimwear,Miami In 1997 Board Shorts - Blue/combo,M,19.99,https://fashionnova.com/products/miami-in-1997-board-shorts-blue-combo,D2124BC_Blue/combo_M
Mens Swimwear,Miami In 1997 Board Shorts - Blue/combo,L,19.99,https://fashionnova.com/products/miami-in-1997-board-shorts-blue-combo,D2124BC_Blue/combo_L
Mens Swimwear,Miami In 1997 Board Shorts - Blue/combo,XL,19.99,https://fashionnova.com/products/miami-in-1997-board-shorts-blue-combo,D2124BC_Blue/combo_XL
