Category,Name,Variant Name,Price,URL,SKU
Mirror,Peach Chrome Hand Mirror,,25.00,https://jeffreestarcosmetics.com/products/peach-chrome-hand-mirror,JSC-JSC-JS481-AC-HM-N-R-NA-OFA
Mirror,Baby Pink Chrome Approved Hand Mirror,,30.00,https://jeffreestarcosmetics.com/products/baby-pink-chrome-approved-hand-mirror,JSC-JSC-JS573-AC-HM-N-R-CU-OFA
Grinder,Royal Blue 100mm Grinder,,75.00,https://jeffreestarcosmetics.com/products/royal-blue-100mm-grinder,JSC-JSC-JS533-AC-GR-N-R-RY-100
Grinder,Bronze 63mm Grinder,,20.00,https://jeffreestarcosmetics.com/products/bronze-63mm-grinder,JSC-JSC-JS533-AC-GR-N-R-BZ-63M
Grinder,Black 63mm Grinder,,20.00,https://jeffreestarcosmetics.com/products/black-63mm-grinder,JSC-JSC-JS533-AC-GR-N-R-BK-63M
Grinder,Baby Pink 63mm Grinder,,20.00,https://jeffreestarcosmetics.com/products/baby-pink-63mm-grinder,JSC-JSC-JS533-AC-GR-N-R-BP-63M
Grinder,Baby Pink 100mm Grinder,,75.00,https://jeffreestarcosmetics.com/products/baby-pink-100mm-grinder,JSC-JSC-JS533-AC-GR-N-R-BP-100
Grinder,Baby Blue 63mm Grinder,,20.00,https://jeffreestarcosmetics.com/products/baby-blue-63mm-grinder,JSC-JSC-JS533-AC-GR-N-R-BE-63M
Mystery Box,Valentine's Day Mystery Box,Premium n/a,60.00,https://jeffreestarcosmetics.com/products/valentines-day-mystery-box,JSC-VAL-JS421-BU-BU-U-R-20-PRE
Mystery Box,Valentine's Day Mystery Box,Deluxe Small,100.00,https://jeffreestarcosmetics.com/products/valentines-day-mystery-box,JSC-VAL-JS421-BU-BU-U-R-20-DES
Mystery Box,Valentine's Day Mystery Box,Deluxe Medium,100.00,https://jeffreestarcosmetics.com/products/valentines-day-mystery-box,JSC-VAL-JS421-BU-BU-U-R-20-DEM
Mystery Box,Valentine's Day Mystery Box,Deluxe Large,100.00,https://jeffreestarcosmetics.com/products/valentines-day-mystery-box,JSC-VAL-JS421-BU-BU-U-R-20-DEL
